curve,rank,period,regulator,tamagawa,torsion,l_value,bsd_prediction,analytic_sha
11.a1,0,0.25384186085591065,1.0,1,1,0.25380438566207886,0.25384186085591065,0.9998523679518208
11.a2,0,1.2692093042795531,1.0,5,5,0.25380438566207886,0.2538418608559106,0.999852367951821
11.a3,0,6.346046521397768,1.0,1,5,0.25380438566207886,0.2538418608559107,0.9998523679518205
14.a1,0,0.660447318688961,1.0,2,2,0.3301936984062195,0.3302236593444805,0.9999092707702395
14.a2,0,0.660447318688961,1.0,2,2,0.3301936984062195,0.3302236593444805,0.9999092707702395
14.a3,0,1.9813419560668832,1.0,6,6,0.3301936984062195,0.33022365934448056,0.9999092707702393
14.a4,0,5.944025868200649,1.0,2,6,0.3301936984062195,0.3302236593444805,0.9999092707702395
14.a5,0,5.944025868200649,1.0,2,6,0.3301936984062195,0.3302236593444805,0.9999092707702395
14.a6,0,1.9813419560668832,1.0,6,6,0.3301936984062195,0.33022365934448056,0.9999092707702393
15.a1,0,0.700301521166301,1.0,2,2,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a2,0,1.400603042332602,1.0,4,4,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a3,0,0.700301521166301,1.0,2,2,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a4,0,5.6024121693304085,1.0,1,4,0.3500092029571533,0.35015076058315053,0.9995957237797757
15.a5,0,2.801206084665204,1.0,8,8,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a6,0,5.602412169330408,1.0,4,8,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a7,0,5.602412169330408,1.0,1,4,0.3500092029571533,0.3501507605831505,0.9995957237797759
15.a8,0,1.400603042332602,1.0,16,8,0.3500092029571533,0.3501507605831505,0.9995957237797759
17.a1,0,1.54707975355112,1.0,1,2,0.38674016296863556,0.38676993838778,0.9999230151669269
17.a2,0,3.0941595071022405,1.0,2,4,0.38674016296863556,0.38676993838778007,0.9999230151669268
17.a3,0,1.54707975355112,1.0,4,4,0.38674016296863556,0.38676993838778,0.9999230151669269
17.a4,0,6.188319014204481,1.0,1,4,0.38674016296863556,0.38676993838778007,0.9999230151669268
19.a1,0,0.45325324449610366,1.0,1,1,0.4532645344734192,0.45325324449610366,1.0000249087622706
19.a2,0,1.359759733488311,1.0,3,3,0.4532645344734192,0.4532532444961037,1.0000249087622706
19.a3,0,4.079279200464933,1.0,1,3,0.4532645344734192,0.4532532444961037,1.0000249087622706
20.a1,0,1.8829167613060758,1.0,1,2,0.470697820186615,0.47072919032651894,0.9999333584138214
20.a2,0,0.9414583806530379,1.0,2,2,0.470697820186615,0.47072919032651894,0.9999333584138214
20.a3,0,5.648750283918227,1.0,3,6,0.470697820186615,0.470729190326519,0.9999333584138212
20.a4,0,2.8243751419591137,1.0,6,6,0.470697820186615,0.470729190326519,0.9999333584138212
21.a1,0,0.9022308107769841,1.0,2,2,0.4512094557285309,0.45111540538849204,1.0002084839908267
21.a2,0,1.8044616215539684,1.0,4,4,0.4512094557285309,0.4511154053884921,1.0002084839908267
21.a3,0,3.6089232431079368,1.0,8,8,0.4512094557285309,0.4511154053884921,1.0002084839908267
21.a4,0,0.9022308107769842,1.0,2,2,0.4512094557285309,0.4511154053884921,1.0002084839908267
21.a5,0,3.6089232431079363,1.0,8,8,0.4512094557285309,0.45111540538849204,1.0002084839908267
21.a6,0,3.6089232431079363,1.0,2,4,0.4512094557285309,0.45111540538849204,1.0002084839908267
24.a1,0,1.0782578237498217,1.0,2,2,0.5391262769699097,0.5391289118749109,0.9999951126624019
24.a2,0,4.313031294999286,1.0,2,4,0.5391262769699097,0.5391289118749107,0.9999951126624022
24.a3,0,2.1565156474996434,1.0,4,4,0.5391262769699097,0.5391289118749109,0.9999951126624019
24.a4,0,4.313031294999287,1.0,8,8,0.5391262769699097,0.5391289118749109,0.9999951126624019
